GEOID,area (m2)
30049,2725858407.4119706
30055,766803520.9189857
30059,1634966117.6691375
30069,601655023.2295697
30073,441951427.8602598
30083,150039943.36514044
30099,1054239376.952033
30005,1686772233.180635
30053,8558021948.060657
30043,38833186.25477357
30081,627756453.7686986
30009,700682270.5857983
30033,2348831768.0412726
30007,26217429.360984735
30093,117708987.10578519
30003,95388621.25095272
30035,1625732523.9548156
30061,145196457.78594577
30089,1942062744.7511456
30075,499849129.3680125
30101,37042326.73929585
30067,2698562115.812311
30095,592576908.9262065
30019,134056370.40076476
30037,161377749.30587146
30051,188697.49651033245
30107,299499725.1603638
30065,223418844.62857175
30097,413805704.63111055
30103,24422868.520331196
30109,39769507.51336403
30017,627164572.685814
30021,127821904.33439064
30079,1136682631.8066158
30041,42302012.44034481
30025,101361183.1092824
30011,1484514612.6194205
30111,41098382.01258242
30063,1131109050.8620274
30091,175370604.22319594
30047,461370499.94634
32001,2449886658.0136485
32003,8247066173.569298
32015,241421138.0771374
32033,2726968063.480677
32031,3921062614.5415525
32011,126670077.13225687
32013,5595760365.253546
32009,635341071.9468708
32023,5510750477.344378
32510,11967753.795239087
32017,8408212853.406933
32021,326330162.39952797
32027,1284005094.623899
32029,2578971.889928269
32005,157291081.11561412
32019,320218983.4475627
32007,2170230647.3375525
34003,74116847.54088974
34007,74781214.68913083
34013,32707503.69027844
34023,28836664.15079373
34041,51210553.908443265
34001,416140444.50973177
34005,670136249.9461876
34015,25266081.87102881
34019,87397714.42998692
34021,40711428.19752977
34025,59376986.12259349
34029,516879124.0335597
34035,45958922.15520342
34027,191537091.0559344
34031,58277482.20426522
34009,232556086.9381361
34033,17159895.034718398
34037,206125557.11222255
34039,13847371.543590656
34017,8598802.174729077
34011,53964121.54062711
36013,93341601.1492355
36029,44787161.99355584
36043,1469596313.9981294
36045,141173612.18227747
36047,25741781.55873386
36053,124843365.50224657
36065,241850726.04607576
36077,87295123.76032598
36081,40483469.631517544
36091,121517835.95655644
36115,130201319.20063494
36025,503069833.0529107
36031,2421206766.053834
36103,359282479.2341003
36105,224789634.67970473
36119,43559328.57495323
36123,35778999.439915754
36059,70696832.17690231
36075,212103169.27508384
36009,398479198.7158066
36061,1947103.9032777278
36071,277729455.16857743
36017,320872135.8496899
36113,833184594.9843028
36057,33653408.31773013
36067,84744576.61629803
36019,318761432.80848867
36073,25321003.750792276
36079,128718935.82723705
36097,139946565.29908794
36107,45874445.392481595
36121,39570492.85988598
36033,1172194162.4657257
36051,51895971.471581124
36095,150744747.96765414
36099,72263620.368272
36069,44974332.81000996
36085,30716264.86554747
36117,89683850.22985144
36011,63745975.50347861
36027,61921056.990215465
36049,616935070.7567433
36021,53834238.95552647
36015,8243934.087137853
36109,122945925.05985574
36039,416956451.68512887
36041,3241273377.9678826
36093,15667384.07408083
36023,145703563.80559403
36001,124212677.08699262
36007,66859449.15234329
36037,44776843.32086167
36005,5580090.470351266
36055,37492380.89833175
36035,352353963.55312467
36089,1090883199.7410572
36083,75807666.83080257
36003,222563205.86079893
36101,112527365.44189844
36063,20837744.57579291
36111,855593732.7392702
36087,124747597.15607591
37007,32754434.421250567
37027,194012609.1943531
37039,386288403.2204253
37049,282885043.3577451
37055,549859431.1786166
37059,1087038.4025466773
37069,1186588.9526008475
37083,6021811.087272834
37091,152362.17991600145
37093,4073148.1120196534
37099,316901705.68230677
37111,285983608.4363298
37117,5162906.751952904
37127,1378438.996558536
37165,91692212.19008009
37175,421046403.54213125
37199,154866249.8624592
37009,25299233.692713197
37013,31250147.768827997
37017,41530986.50166538
37023,219003226.2375643
37037,145905155.91930076
37043,270606018.8584745
37053,112625276.66589403
37057,6026738.363557563
37065,1057648.0054030127
37075,461266153.547385
37085,925527.123241392
37089,111527157.83431032
37095,557137104.6272342
37103,289644046.2871564
37115,223327489.27895394
37123,164379516.31311783
37133,223057528.0271734
37137,24429465.29005649
37149,49771039.267411634
37153,136135091.81482536
37161,1043806.704030015
37163,10049412.785188215
37177,392039377.4037933
37029,114785347.02982822
37105,1984503.8639371125
37125,44175146.429574445
37021,124926178.79390241
37107,8984774.832035674
37145,11627507.102178095
37193,1598433.2714740732
37015,33734506.0083037
37101,19356052.033727843
37131,1069674.9533942293
37159,4402334.066137743
37183,117112171.96545802
37051,12013015.379461104
37139,17484681.14517349
37019,129233756.3423544
37047,25635415.634240057
37079,283186.56493540376
37147,10927180.408000764
37173,106238963.04670258
37031,262546362.12291244
37113,631695724.502583
37001,1599278.4144338798
37189,11106659.364048367
37121,80956694.21004562
37141,262684574.03864685
37087,294283782.53853256
37155,2616089.167213021
37097,1824894.600872945
37169,1814413.1113364478
37179,3067330.186431594
37025,3718313.894826279
37035,2810623.3608238264
37143,70203.43480548447
37191,10263892.977466293
37033,62947829.33022028
37185,2222506.8575567515
37187,215061633.79621753
37109,1977048.2586944408
37197,2231187.434919825
37081,8327749.725369705
37119,40451803.46694323
37171,32126875.639344204
37181,4827758.5418212125
37005,2453272.0936670913
37041,570028.64569584
37061,29064399.48545332
37003,99304.99482056318
37071,1300577.7306349608
37073,56696073.357214935
37157,8759442.835522339
37195,2698007.611232248
37151,42982460.139183514
37067,3658826.2355293552
37045,5851717.908643953
37129,20932105.488856606
37167,748021.260390029
37063,108851599.1093525
37135,61795540.967939295
37011,131002644.01483822
37077,58843356.291389085
39035,82247131.34129347
39039,3625908.951954047
39043,28832150.889782175
39125,539152.1449607385
39137,619991.9133810984
39175,4058337.994111992
39047,810135.3074951705
39061,52230937.633177504
39095,28189896.361668505
39115,320613.67037819885
39167,5533021.389275042
39123,18140133.281311616
39055,69413379.39788197
39159,1500751.3304517101
39105,1197667.2508918305
39099,99202501.55717023
39103,8751967.88318775
39025,9942804.25111253
39053,1018689.7413629667
39067,0.0
39135,11549593.847479077
39119,36747583.145024106
39127,602656.1450900343
39163,15776002.447593443
39009,49252533.7230149
39171,16435977.243697103
39147,4823557.387986809
39153,109864279.23408389
39131,6442434.331655007
39007,31160202.3240525
39073,42204573.529930234
39077,12569013.050871193
39129,5286130.568790636
39019,525658.1763223426
39097,571343.7839017424
39151,7525697.279181923
39083,206213937.1669816
39091,3394375.0368253994
39157,5933496.911884046
39117,79030118.9962531
39143,8479314.164444353
39165,4451557.112487625
39133,18894515.172154874
39013,911310.1103720408
39107,2084367.105157931
39121,214468.70806990474
39017,31356014.416639064
39155,47060206.97652526
39001,25982058.850778643
39169,1514393.5775759157
39071,10721112.518571062
39079,410130.6770481977
39069,1230788.7888546083
39089,8964653.676975094
39051,9107825.616816347
39059,918307.8939708561
39081,3854102.9461064674
39031,150678810.71753156
39033,9853585.109384257
39037,4911885.652155767
39057,10691192.232586473
39065,2523387.141507833
39023,4995462.4911156
39139,217977115.27319053
39041,36155287.74327023
39027,4313637.357435912
39005,78232729.54470177
39015,1344947.406411604
39029,1690697.2151943701
39113,9690010.52875549
39141,85655756.0048015
39063,8898305.654577913
39149,822111.8291465141
39085,22956806.108981106
39109,2534929.561920548
39093,15294944.171316652
39045,2131191.0451908153
39173,10859408.374672094
39087,776905.3565796636
39145,1573958.2483960509
39161,1259933.3500663792
39003,2795005.8440008783
39021,15016860.040363785
39011,472397.82775435376
39049,99692993.23292631
39111,618130.9902949528
39101,23081172.682479043
39075,39539841.481050685
42005,57167083.75724797
42029,87384931.56040524
42035,1318513111.9773421
42059,68320636.68545629
42067,114272768.0424628
42091,27238032.81520016
42111,353345527.4670254
42099,250516683.4915887
42103,519174352.46777546
42127,102960835.25843497
42133,73534448.05244274
42003,137841559.3699464
42027,965147939.2049521
42033,676625747.941265
42041,201118822.21474054
42045,27516129.423013162
42051,272521168.6314431
42061,587264793.5593238
42071,79048255.26021643
42089,353675263.1690369
42095,78332226.30668102
42049,119137447.61504921
42101,15987722.236558998
42043,301958887.69894993
42097,104999433.89611328
42031,112678057.12262186
42131,156512270.05708113
42023,614136466.7789172
42055,294873838.21239156
42017,68002574.48132747
42073,29393377.48846342
42083,257464260.22576338
42121,144567345.2934413
42013,425387056.8828602
42117,801861527.9697634
