GEOID,area
34003,158049223.59122172
34007,212754809.62525836
34013,71574323.49153529
34023,218460627.71642992
34041,494262276.546924
34001,984496840.5381982
34005,1208150777.6978157
34015,280662378.1480806
34019,479232896.69414455
34021,174147671.6130164
34025,404805613.38465965
34029,1065538468.8633347
34035,272628488.00266695
34027,716821772.2365047
34031,301204228.9975138
34009,348948612.6163901
34033,231378794.6718442
34037,896661860.2857798
34039,40811960.45708666
34017,9987625.297529865
34011,495301729.6839218
