GEOID,area
56029,8844960518.218248
56003,699863188.0047042
56013,2364342691.1021223
56031,2395320.4526420557
56035,2089432212.6415474
56033,185452981.44062132
56039,8278393843.913954
56041,193182803.140611
56045,138010.65647004766
56001,808874956.6063247
56005,37273389.82276397
56015,3872993.5034234626
56019,501189603.3257103
56037,1114459314.6613219
56011,69331465.35105053
56017,123173245.74417874
56023,693542551.0013272
56027,119661.1417870414
56007,2308045943.5106773
56009,389169.2787048897
56043,206781811.5816027
56025,158307558.76812267
56021,1208952.7584536448
