GEOID,area
26033,932246174.8936481
26053,142835722.3002179
26063,91559850.87479554
26097,922678553.0844036
26115,64200083.46593839
26041,277984275.18905824
26099,20777568.0894652
26103,1299537906.751162
26135,944331040.1266643
26147,68377150.86274563
26163,94955851.43035759
26137,416241574.80704343
26055,306613871.83988065
26007,238485863.67212424
26003,630218254.8848629
26013,605992369.7577978
26071,350161237.68900865
26089,246842898.31584296
26141,376486318.8968031
26015,100603500.59591345
26159,26392817.186749864
26165,614941670.2965481
26023,2742838.063306317
26027,20601235.699431002
26037,92440763.67749397
26051,353740227.6701772
26061,317486394.65329856
26065,69121782.36856665
26017,27255222.480992608
26131,270845869.88084704
26075,51384170.58075529
26079,651342406.7877957
26095,1331182543.6148229
26133,75891327.41413918
26143,826144485.9796095
26119,557220090.0527421
26149,24411578.3880648
26153,1550253590.7140405
26155,22041772.780062813
26125,109075852.55164449
26001,559257350.5934259
26039,958191808.3368498
26045,20403905.605224866
26019,331170378.4685789
26035,224009459.71957788
26009,200845972.1469242
26011,144807949.95031804
26117,104591373.50967793
26121,106606474.0472221
26101,467151611.06484807
26077,44504980.51972937
26073,57878763.63175994
26093,31622682.53417614
26043,913197930.9289006
26057,85266825.1841202
26067,38604850.48775418
26087,45629198.62679617
26091,35575865.4767889
26005,212896617.823024
26025,13211754.756593158
26031,798294697.6138293
26123,489257960.3027568
26105,248234227.94988266
26151,56773820.77391313
26161,104054979.4883368
26069,502172485.0472844
26021,59472348.325186
26059,36681738.120354876
26029,296424755.2607951
26111,236052791.17021355
26047,318287519.744764
26113,435217220.55779946
26129,381188486.8757509
26127,228578777.34304497
26145,168047475.38623083
26107,75835082.72649454
26049,17244173.76688125
26081,97644180.05998063
26085,693448216.7303796
26157,134747322.21031907
26109,356593859.17534804
26083,631893141.093765
26139,23343012.68745225
