GEOID,area
16015,434685069.2678798
16023,739711918.4488647
16025,10307647.165892612
16027,1341883.707716003
16037,3827463909.3069553
16039,1070625813.8657011
16043,239867416.65126494
16061,2216568.0894608456
16063,435368471.7879213
16085,2972381316.9751782
16059,1963868336.9042344
16073,2610755337.3322244
16083,31285761.151448056
16087,1293801.683345432
16035,1079128608.716337
16069,3824381.4191837786
16041,14779934.713902635
16079,1856826847.8663318
16007,146020665.80276993
16013,2180874176.866196
16031,116773654.85936296
16029,24621818.209964305
16051,49230771.29062942
16065,451299.1013179098
16009,102834313.9895824
16019,231048202.9454707
16021,2004563909.1890059
16045,306378.05337234196
16075,330817.68344214675
16033,7332.668628881634
16053,1581145.5523269407
16071,87215.36571765778
16001,976460942.0276768
16055,182217248.47095636
16081,394354.06679763994
16011,196738310.41874197
16017,364525990.11864036
16067,665219727.2188367
16077,218297250.31641597
16047,169761631.7500664
16003,2234644.0164480484
16049,5311803940.080706
16057,144964933.8112676
16005,32852678.948209193
