GEOID,area
39035,90352090.70474681
39039,109741325.76127274
39043,65587741.28547318
39125,12125773.961059581
39137,22378257.695897486
39175,17974233.432113346
39047,12677814.746387407
39061,246875702.7841045
39095,120539251.2042891
39115,11027554.926594565
39167,547147279.502579
39123,43929968.460877076
39055,82477477.23556021
39159,6104425.646439666
39105,1197667.2508918305
39099,125283833.54489383
39103,10402417.23881655
39025,81450204.26792365
39053,30307758.85595888
39067,287046.86826221447
39135,16765012.4150269
39119,65335958.83279119
39127,1585446.4945593418
39163,124631880.98205486
39009,111037539.26854172
39171,150288313.89634848
39147,30964623.437688332
39153,141325583.21877056
39131,7285694.61935127
39007,66734341.96107001
39073,84286196.00897291
39077,39599586.4951154
39129,11516193.423764316
39019,552472.266326858
39097,12474353.410690933
39151,27182964.35536284
39083,221563062.25598165
39091,3971948.086124372
39157,9427431.873661425
39117,82016577.0399076
39143,56261885.55750804
39165,35031754.160869025
39133,42064115.39144698
39013,49467256.96595334
39107,5360017.400125027
39121,205846123.15219092
39017,98047983.27561477
39155,306961820.1352136
39001,241958763.76753765
39169,3067116.3555734917
39071,15083290.573112521
39079,861934.8452532698
39069,54565738.16289976
39089,14426831.267541545
39051,86718683.45507097
39059,19758348.385072783
39081,4497189.4999725185
39031,835577501.7901467
39033,15786219.754175687
39037,25606295.818798274
39057,19630059.110775504
39065,17539950.619263757
39023,8638626.932854194
39139,224131322.61118126
39041,46319103.9023046
39027,27371968.080143314
39005,89881484.14787048
39015,5090489.04389576
39029,51327246.49761165
39113,24547280.612871636
39141,89192692.07117057
39063,100307874.23714866
39149,8176538.677907324
39085,26355314.21979722
39109,9104420.704970857
39093,82459877.67856969
39045,4396884.324667596
39173,81222272.78625958
39087,20987882.975658204
39145,45319078.8546215
39161,9057974.831733465
39003,28084639.045486573
39021,18670305.26014241
39011,4142519.906644618
39049,135910603.54746786
39111,633069929.3057139
39101,30204546.503294263
39075,52320087.62706291
