GEOID,area
40065,694488.4075234915
40073,208131.37198432162
40079,35311960.94654235
40145,14790328.816643298
40013,584259.7637446998
40027,45449336.18245577
40057,213821.86961122238
40067,220523.00011717057
40075,42157551.29353607
40095,51365.2448730785
40125,9703433.927564891
40135,10504009.156572267
40143,71034014.31698684
40089,15420544.754681457
40113,180459522.3471983
40133,542444.0088412225
40055,56502619.764835246
40117,1327101.4955036915
40023,244768.96649771545
40141,30164800.09411908
40101,119857783.99548124
40045,101188485.29445279
40041,78788060.87003195
40151,419660.88662546943
40131,16318494.985535057
40001,8508813.306080513
40005,138654742.64672637
40033,169435.78469507003
40017,4230172.280221228
40035,641874.3991997578
40093,1116726.5813109572
40103,6822228.26848435
40053,211841.49719130807
40107,11717646.803874359
40021,207263815.8160151
40037,44584748.09540725
40039,358210.65498990763
40043,1059824.5543737758
40009,68242818.95269921
40019,2954100.106357597
40069,13740948.056528468
40047,1725088.768189463
40031,242189247.47506934
40121,1444342.8840905924
40127,392036.99262472376
40061,194787.90161230075
40081,1127821.7154552152
40071,3737577.370269718
40115,26686024.06604986
40007,113442918.91003706
40105,331457.9020587827
40111,4953109.403109394
40153,67305172.46394794
40099,506885.4313340846
40119,18018522.700220197
40123,3830330.076373068
40129,4681082.733249048
40149,195822.5724961816
40091,299803.18568524974
40085,586021.8411036968
40059,24248034.8636155
40139,56117316.53133758
40109,37799609.48735274
40083,6721601.73500076
40137,1121501.719883575
40063,2238797.1656105043
40025,7470834.5970586
40147,11838147.756855452
40029,18633.418004680687
40049,294991.00275586743
40015,12876983.692591306
40003,129202110.26737121
40051,4712196.610072685
40077,24971806.797861543
40011,3043117.521023539
40097,66005217.674623005
40087,29085157.146301955
