GEOID,area
38017,24733967.671615977
38037,4025133.9023604025
38085,26261495.296317313
38099,7228830.580518738
38005,19071811.591806334
38033,733021.113876818
38053,72691761.87138619
38059,35559543.31983291
38067,29290242.43984042
38071,12022636.579949064
38003,24932574.937464587
38055,124129285.21812733
38097,967746.6914262339
38035,25380533.460164662
38103,47736492.93639904
38045,6737806.244060588
38051,9892253.057279048
38095,1619273.239462366
38101,2905990.871497809
38027,10319225.155907454
38007,1505433.6032934277
38065,3954204.4920296897
38089,9706287.641734127
38061,20722332.550910983
38105,28576602.61865448
38087,3981327.905843279
38023,7710030.461845485
38001,678975.6367305641
38015,113802206.81410961
38039,4780330.676162494
38029,17146854.28423623
38057,27749847.24379481
38043,67919702.1739121
38019,81514756.5588482
38021,19495031.384075064
38083,114365284.22230057
38009,28999012.349083923
38011,4319456.49345542
38013,2206650.2850085413
38069,6253378.054738149
38041,4829300.200055636
38031,3985842.856074448
38079,32733637.061534368
38047,25523611.481711518
38049,9182123.914246006
38073,328127056.2931265
38025,30276047.16112888
38063,10326486.266695715
38081,70886510.49841829
38077,259229985.98292783
38091,5879465.099304964
38075,54097.96145161152
38093,96896208.39570539
