GEOID,area
02016,5326838396.0945215
02130,12624546124.285172
02180,7480720652.435875
02282,13508955400.948324
02090,385058728.0684997
02158,5591863987.231952
02240,13053103463.036917
02050,6583312195.948694
02195,7515043683.6932745
02100,3392510063.8572464
02170,2031303258.2020693
02290,106913632674.49243
02070,5577208811.667354
02110,6971136783.567354
02150,11030039150.837393
02220,7478761044.450625
02261,45991504884.45596
02020,558072413.6526484
02060,201995145.96265697
02068,8610459870.901613
02188,52599680700.74016
02230,533852190.86331165
02275,6671900953.095302
02013,5324840799.452194
02185,65178712627.057755
02122,21740438502.98663
02164,24706427627.58123
02198,13300670873.396805
02105,8384659492.978016
