GEOID,area
27023,50689169.95606811
27053,116102844.88496321
27077,962116762.404985
27091,12756010.070380455
27129,42855977.44882615
27139,25117810.022390723
27163,46487374.42603965
27011,52742149.711495504
27013,25808688.970727216
27031,1916240394.5092714
27061,1736406306.332532
27073,130821639.12873381
27075,2572379815.3764105
27089,471440000.87271297
27097,28057628.63684022
27127,40525175.560558945
27161,9958968.317140158
27171,30801821.204923194
27015,37186126.91036947
27167,27790952.13845479
27021,1430002303.8135116
27087,248110016.101277
27173,22654548.780748162
27103,15302862.969750341
27137,4306520356.710405
27067,18100192.847896915
27119,126724129.90225343
27069,295839165.1279346
27107,26211833.279781647
27145,69449273.65932718
27153,48041930.95713204
27157,83170058.89765131
27095,161403555.8960839
27101,47932534.142525084
27109,182513158.75840494
27125,26382914.571474932
27071,69572299.36473899
27081,36969632.51620931
27033,96391085.99676915
27043,15151241.307015149
27141,38255755.716469236
27147,13297123.052432295
27151,45229523.50133839
27131,32649753.3130909
27135,464639761.7593319
27083,42025708.92721087
27093,11069354.508895112
27099,11162008.398278052
27117,9404033.341457518
27121,14357039.19081424
27041,31764587.035343613
27045,45937514.7537631
27123,18374318.916455626
27001,663760204.318518
27005,670482410.7397344
27133,17017906.768811174
27019,34744748.74062006
27029,231591099.60779068
27155,6769830.012234237
27159,151263513.35166895
27169,138078857.43658775
27059,22628179.655497923
27055,74422728.5859425
27085,15031871.41414521
27035,29791159.40411693
27017,104373716.89489937
27049,97485704.58987515
27065,79757898.55134603
27009,11163807.844094776
27057,533460310.97450167
27007,1966843402.8187406
27079,18463050.25752438
27039,16782599.330714017
27063,61379356.08686743
27111,113846810.55887371
27165,9353710.973078413
27115,389027731.9436884
27143,8177295.338968168
27105,23587340.95985771
27149,13196335.144329669
27025,44632387.65288312
27037,71748021.78582975
27051,19376454.662561946
27047,9595248.861810364
27003,104658283.18992735
27027,67518949.55448094
27113,26920648.931103613
