GEOID,area
18027,15551999.747418564
18061,1842018.1548764112
18103,5066377.488471899
18129,38430729.61507719
18147,913993.8680647024
18009,652648.4431393006
18035,10045749.894333078
18067,5854850.734603852
18083,32263862.04730842
18159,2940148.3485031202
18175,87668320.6494093
18071,105042098.65281019
18179,5142068.329370608
18007,300153.67206315504
18051,22439228.033164997
18123,259509388.61801675
18021,2833567.0340635683
18125,6273805.057244757
18053,7944789.475219592
18099,18515625.52422088
18101,39357703.186058305
18003,58493582.97012898
18031,17516323.984348178
18037,22178439.81231467
18041,5052521.595073535
18055,69087834.23239055
18065,6192019.44223358
18075,7663005.832083132
18085,8702137.277903102
18091,11358859.123925235
18109,27894962.299610138
18181,396870.11970387184
18095,3916126.710034061
18097,58489417.7007812
18017,4534188.489377844
18115,1824122.9142130592
18119,11739128.463367693
18121,21003729.22403347
18133,12186346.02128818
18157,11940971.218850158
18111,983504.5682352268
18143,41663592.982065335
18171,2103184.7003752324
18177,12293825.251822844
18059,52894781.05383114
18173,5977951.629655313
18069,1836545.4874354044
18073,1572075.200576559
18029,71515461.98004408
18131,32863140.181361213
18139,21798569.50417803
18105,202247247.42867425
18117,144787544.1644575
18137,120370059.68332654
18043,527657.6909788604
18141,43434061.8316212
18149,1244326.0270322368
18005,14080281.704673927
18015,1011080.5927628357
18163,27267109.55229202
18165,17754719.304370783
18169,4277179.331435529
18001,469808.17317591497
18079,58783820.31982344
18093,79097685.84838437
18155,1627201.2801258226
18089,41896931.99693287
18107,9484297.080767373
18161,32079585.094493464
18047,53301940.321885265
18049,1476667.2563386122
18057,22519687.106886636
18077,77735348.33221066
18127,53474782.37706627
18019,93821108.60480838
18033,8048756.925676523
18039,42225467.30417934
18045,3634576.6570983934
18011,4324030.690450176
18023,4769173.331080939
18063,4211254.471949889
18145,28269676.46978357
18135,3607325.401035881
18153,29513750.53796584
18183,14165162.743183121
18167,23418072.714270372
18025,98702633.1952981
18081,8098991.495721047
18013,272711359.75618917
18087,55359388.738969915
18113,20869357.94217763
18151,27888346.555327334
