GEOID,area
54001,56970383.35031162
54005,1099176415.3809674
54021,191354703.451964
54039,656986194.0412807
54045,1018749480.9087458
54047,1261383257.4372869
54063,356090696.28690755
54067,258453321.9828112
54087,26767903.77059913
54107,223475108.01611653
54013,9197839.721144915
54017,141864953.77880326
54019,960800852.5319045
54023,334465108.8874293
54027,446364102.84336305
54033,52807155.63453438
54037,71249099.44018094
54043,393181110.0124353
54065,283901118.3090012
54071,1561320377.314007
54081,1256797337.4601424
54093,911060771.9078732
54095,531919812.41683847
54109,1178628823.823881
54025,1017943619.644084
54083,1635196050.9473739
54059,970855206.4774272
54007,134224681.16224042
54099,537258132.9249108
54031,640168613.4054525
54057,190751001.66833153
54085,246227209.78929257
54003,131612717.78523715
54041,95892998.81986317
54011,112025574.28173244
54049,112365900.41495381
54073,272283799.5821777
54015,22574824.257627234
54061,286130526.86322826
54069,151988687.02221784
54055,261206535.15808654
54035,65491569.26962069
54101,531090560.0330757
54097,6153361.499012678
54089,328647500.624927
54079,86334350.50129959
54051,577509957.5222545
54077,354243015.39930147
54053,64931602.296302
54029,137775808.76748833
54009,146011061.2740278
54105,51349941.606381774
54103,800691582.6037111
54091,12999449.801097168
54075,2240973102.67937
