GEOID,area
37007,44421553.67375412
37027,266515937.38901457
37039,386709084.4364805
37049,299301604.53040415
37055,555945296.7007145
37059,2373680.0041939905
37069,13479242.78696559
37083,6373060.059185105
37091,3890147.5761863273
37093,14178377.669205552
37099,320537190.8544458
37111,298383692.76942676
37117,11841548.668443184
37127,11182866.940430718
37165,91692212.19008009
37175,421081113.0034016
37199,154866249.8624592
37009,25784408.51396853
37013,35217024.832654804
37017,43368757.68479129
37023,253594140.61215106
37037,155122819.36114213
37043,270795258.76950806
37053,121824455.90873046
37057,17270842.449697834
37065,21910855.674154397
37075,461274094.68936074
37085,4237358.019254002
37089,120633752.56481352
37095,566921871.4319313
37103,289648594.0631573
37115,234861942.24236295
37123,167681799.85498703
37133,237518818.26939657
37137,33454878.894977026
37149,53120155.01952535
37153,149273583.8017462
37161,1455159.3334438775
37163,39459438.86449149
37177,404551343.00201184
37029,115379324.36990061
37105,1984503.8639371118
37125,47848637.462555505
37021,162960237.91155276
37107,12468656.461845092
37145,21614912.77383973
37193,154103788.40665323
37015,34621242.0857403
37101,205254002.13520104
37131,5809932.4396223845
37159,7426115.848618077
37183,232727808.75220788
37051,70802879.34934312
37139,24226285.861079007
37019,135812019.5949009
37047,27356291.164698947
37079,2512296.714213594
37147,20124388.424187537
37173,1023885687.895991
37031,269919142.9653165
37113,635675145.8950468
37001,54439323.3702784
37189,134884679.66921952
37121,81077623.23964338
37141,264453465.1617846
37087,571455954.005876
37155,16547215.200491015
37097,11857448.56264431
37169,2760129.783579741
37179,171191529.93820778
37025,17043670.792198654
37035,7131991.7320577325
37143,70203.43480548447
37191,29440492.096345898
37033,67249768.822451
37185,3989613.5251736697
37187,219711091.65648004
37109,2617074.9408948882
37197,2231187.434919825
37081,14784100.597540576
37119,99749630.73150541
37171,46446854.16340447
37181,18711913.68258716
37005,2474039.4806859437
37041,591341.2598106116
37061,42824398.04240344
37003,156408.36149704855
37071,5569002.283771951
37073,57062705.97907654
37157,10579130.528947977
37195,76434949.81067328
37151,44243720.21783401
37067,14694785.262932967
37045,22368229.392280318
37129,24864049.222553276
37167,21652934.425508343
37063,173191426.82405025
37135,262856741.64475918
37011,133873299.32297254
37077,63808356.481767535
