GEOID,area
24003,189171313.29646906
24011,238256180.30342335
24033,343469631.0950673
24043,163306794.3077687
24001,412486048.64834964
24005,436023820.75943106
24017,378150970.4738173
24021,218693972.31545982
24031,640630166.8238536
24045,154458881.3269753
24029,33155426.193025026
24047,342089969.6631241
24023,463091509.96275353
24015,82574710.27732274
24039,240988328.79641065
24027,119352971.99238047
24019,348337393.39045936
24025,155040063.0942044
24035,53853430.35483489
24009,101236439.46160379
24510,16830130.794301927
24037,73069625.95052102
24013,101094276.00560611
24041,27391317.5241238
