GEOID,area
51015,953887919.6516443
51037,27144857.93395589
51051,127554827.28568871
51053,13629149.217590379
51069,368988148.0939443
51073,10546235.098214317
51085,68246984.48531207
51099,25678579.095685337
51125,83729126.62370212
51131,47820536.0483976
51137,17465278.526082635
51145,110780726.70406087
51149,22849808.310033597
51161,164932410.42775068
51177,86126985.8789524
51185,212778028.1243202
51199,33977065.92741221
51007,79919628.44835187
51017,803814821.3199866
51019,377993320.0441745
51023,678788089.0873036
51033,54899522.86831562
51036,23755227.746087115
51041,326866136.41514647
51057,4236270.701514903
51067,10518406.499752384
51083,25164573.742634036
51091,582925098.808353
51095,18636879.89332318
51107,259212471.95754948
51111,5369544.9862471325
51127,24469308.68185241
51133,10024112.12526925
51143,29101392.01327575
51159,26007827.097123396
51165,851376071.3518096
51175,491749.6565512914
51179,185972532.25043362
51187,182802904.16532362
51063,10294114.89863789
51087,13349567.685046969
51005,1164635512.073455
51029,82974889.45039055
51089,18138165.313023478
51141,47425025.33997493
51193,6588827.384097807
51081,952183.6244147925
51105,178957340.9290028
51195,537916040.665967
51113,290877289.0577698
51103,10851698.229169395
51157,220890022.92015824
51003,144123549.37167308
51031,22454110.11149153
51059,166309131.41411406
51121,399670990.19907624
51155,40910829.41530485
51093,116920577.78614299
51171,571683427.3593013
51027,249650568.33367816
51101,23210504.416714597
51147,392364630.6645242
51191,69845680.7234052
51720,7171037.776468565
51740,3734716.766479075
51810,99129426.81157133
51153,297128228.57602805
51075,30068312.582124516
51181,20705258.19687595
51079,117824180.16265845
51011,58047370.7348071
51025,863281.4014712742
51043,85316678.81411712
51135,5864792.023014472
51630,4532669.217131306
51049,21876957.26368735
51685,259193.4359558323
51540,1735236.4815692622
51570,152101.72686494066
51610,82928.73970512595
51790,1020405.1465144989
51830,7316394.10354879
51173,193384351.50612053
51510,2651869.0481860666
51013,8346515.773446458
51045,277620915.7395097
51580,14650585.588857371
51600,1171693.200528869
51197,181922807.36856526
51115,334991.96288885176
51169,259130023.74247262
51650,12633591.264828097
51680,44184117.04490044
51683,3290276.729613789
51550,259403974.44644997
51065,35266467.4132648
51520,159212.289300413
51750,266042.46444601816
51760,8959088.112469677
51021,452150702.1781171
51840,1364174.5073486608
51183,4101431.576437269
51590,1286209.549533369
51820,5263339.894330324
51800,154392172.83252698
51035,13281318.840215087
51670,240797.77006265117
51530,5468478.524881292
51071,144689251.3922173
51770,1226547.0822541758
51775,1693159.6383264062
51620,119791.26766709027
51710,4406883.51606182
51735,14631123.989552995
51660,2640647.7915567425
51640,166821.3096584495
51700,27505120.035068125
51077,89323371.66568547
51009,208990038.05496803
51047,55328470.61761275
51119,11371818.581680296
51139,449627427.4682299
51730,706835.1083605154
51097,21153453.270161673
51690,279458.831385053
51167,272112.95051536197
51595,54801.32354420108
51678,264185.62374867906
51061,136756293.18085387
51117,203160528.76271287
51001,57566882.47724359
51109,8978813.210259197
51163,657533669.4528236
