GEOID,area
17091,16287228.759383606
17187,11980303.68414988
17197,172087585.19417045
17027,881472.1261497935
17031,364580321.8492056
17047,224098.57462234914
17075,11217856.629895192
17129,6726617.785693712
17161,68702116.66864252
17175,782286.5363206586
17185,6269583.828325927
17153,1113327.7547815058
17017,101284742.27693206
17125,70582971.29748395
17007,15285602.908608625
17003,61876204.56624314
17189,1480464.0137136288
17067,13795891.337138506
17183,150519252.1085137
17053,501615.9526631243
17073,18066781.277509928
17097,140379041.25120986
17059,10477799.453215884
17063,21021958.641931202
17011,37379034.98105131
17015,16668828.295208106
17149,11044385.635190452
17159,18142236.56378229
17107,3743869.8251719074
17115,37185202.56989587
17121,956840.1765029294
17131,959961.1547154392
17135,1665599.7137474662
17145,3944528.150229196
17029,110665353.77665429
17173,1333845.775797186
17177,8547843.181376362
17005,958178.1721313624
17021,10013365.680602293
17043,111910607.89474937
17137,4634554.341931524
17019,83527684.2948857
17179,58580599.87141972
17057,94771936.50416484
17041,4820361.955266539
17051,18406477.277960733
17023,6268920.395564823
17061,211965.2997667722
17009,181647.7460258696
17085,59688999.86333071
17089,99841463.62194197
17069,27419383.393731873
17151,637542857.5659946
17071,28170926.83399405
17167,74549619.92680164
17203,7527827.106549449
17147,36085689.640861385
17141,57606992.637551665
17157,50325077.59235208
17165,128526501.37379938
17081,2427796.70550934
17133,21071655.086648554
17181,237869525.0055056
17191,889896.8234209707
17195,29185984.087716613
17109,155748026.74249277
17113,21568845.47234133
17099,55945864.46177483
17103,37559268.58588823
17105,5065497.803011424
17123,32314639.84523153
17083,35623637.71419987
17111,160435137.7713776
17139,2392863.328735732
17193,9610945.445443898
17025,584986.4163113912
17049,1681902.9844384484
17033,805612.5222622117
17055,3247793.371027772
17013,38313215.8808564
17095,96139986.1529673
17035,5215157.487441152
17039,12315744.569932664
17079,5900258.656193303
17155,3420508.3476010147
17101,6068408.331154372
17117,1564268.429131456
17077,213263376.65041846
17087,141895359.09828982
17201,40703057.37766927
17045,946204.9816578104
17001,39043709.91018335
17037,20714926.23513244
17093,35183799.03321116
17127,47089382.93026241
17119,47011758.303687945
17163,56839782.99216517
17143,256886030.8852537
17169,6513514.682172282
17171,314183.76330194087
17199,37328840.12397559
17065,26026418.9253701
