GEOID,area
21007,36614454.37500879
21017,365582.2455270521
21031,17440685.8129703
21065,2374588.379039134
21069,16753469.84707951
21093,7987522.28412518
21099,75283303.54245885
21131,17133521.634138297
21151,20875970.333890885
21155,5838817.605009672
21179,17969830.22354863
21189,46970.42110558809
21195,201964639.92323843
21217,37164566.859611146
21237,16870661.824258238
21239,3784555.056749454
21229,308387.30148320564
21231,1095737.0250958912
21005,8172839.244380925
21025,178475.1914347656
21029,15356429.19398077
21033,15601820.065817077
21043,44393529.176120654
21049,195183.79743277762
21063,7121493.390993168
21071,206848.0684913945
21085,20110720.129390635
21097,392714.5995073884
21109,139206.06559044038
21119,11781939.576120347
21125,1585788.3527052468
21135,2123304.1615291582
21139,2014322.5256248116
21153,7471350.636406233
21159,80026.14694999883
21167,2454266.4695327706
21181,27133858.32970324
21183,14136279.202874709
21193,117121.61892259915
21197,53580276.42548934
21205,137182737.09679207
21003,2042218.9379570785
21051,72589981.21936963
21165,1570519.4914349744
21055,17773320.55133456
21027,38103678.46713886
21147,223657.48709541847
21175,21050375.53834366
21079,5968359.734023822
21123,8912417.623061555
21209,10902667.74638106
21235,4007072.216130274
21203,6221104.960145348
21011,3759723.788324169
21067,5394004.788115549
21101,53988748.11020741
21133,174640212.40580705
21089,999081.565755348
21187,16310362.879590182
21075,29541931.373599786
21083,8850394.015572054
21045,375186.78859591356
21113,3902374.1071524606
21141,2504325.3833331456
21201,73020.69049569966
21041,84847362.75031638
21207,1642670.454538939
21021,395178.033505784
21137,5142345.2816282865
21001,58903987.00109283
21077,9541378.922572909
21171,58705580.35806029
21103,1688919.0193596676
21013,111953242.55996078
21173,373984.78429692966
21199,9404708.457411848
21227,1684272.4925628575
21213,5596563.035564069
21111,27581087.740321778
21129,15211704.881624492
21169,114556356.26284584
21145,19227925.835086167
21215,29450113.173631556
21221,246532381.70041853
21127,3282060.7425239733
21039,3986484.201902485
21163,12381841.350562092
21191,163459750.8265669
21143,160467584.36118245
21219,12420570.123488022
21073,4165361.7891371083
21047,83767305.9793551
21081,1415512.5781064245
21091,386073.0945780342
21211,1143449.7842869032
21015,168998947.65231714
21087,194308.96733631493
21019,808091.0733946753
21009,27101208.16821286
21035,684631.3821465668
21053,63854150.161323585
21157,26670169.55114838
21117,92212489.91308679
21105,48668506.70143746
21061,188043803.22631836
21233,4042769.6912438436
21059,5084967.265103332
21121,682713.4563213903
21177,5480285.8811677685
21037,115972967.45908101
21023,390199.6414221605
21115,25120110.956297614
21095,33399219.7025747
21107,16659631.283367386
21185,22264279.765545532
21161,4687009.145290446
21057,160155728.23569527
21149,3771862.016331011
21223,5241154.947219818
21225,40793299.34453589
