GEOID,area
41005,3470761555.3205786
41021,122726544.59257224
41033,2380312676.652114
41035,3289164996.2507515
41039,7621548858.862367
41043,2919285895.23091
41051,494816405.1612899
41055,206364911.7336798
41061,477650307.79431146
41007,1402126228.0393925
41017,3980433245.9984665
41019,6551238108.231638
41065,1728875173.3747308
41023,5174052252.689694
41015,1739829892.1504683
41031,682748564.048435
41047,1233797277.7902913
41003,1139264559.201113
41025,7000207823.647805
41011,949504254.0204986
41027,866846344.2169973
41049,289013.80694989295
41059,176414685.06285426
41001,362189632.0984317
41045,5223690795.396608
41009,392665665.3506303
41057,2578808699.2638855
41037,3477055976.3224363
41029,2948514372.9337807
41041,2195181518.7050095
41053,1243330623.942649
41063,1087921260.4771466
41071,1151896201.5424082
41013,726278710.8713037
41069,250655781.59279817
41067,948932773.2981082
