GEOID,area
22001,7890904.209606609
22009,3231406.6977159996
22011,3174919.8517781342
22029,117471743.70452374
22031,1070734.6787951002
22033,63993423.30169238
22047,38076398.48181137
22071,161885379.11499453
22081,163616.0865780309
22099,27590535.79672089
22119,68921286.58158478
22035,74934.58477394645
22045,3772614.822030918
22053,299598.33778741676
22055,1682016.7058062446
22067,389331.737228625
22069,547929325.7204074
22079,473254371.2974875
22097,50856484.933313794
22107,73294749.78453268
22113,8407161.773972219
22117,4726183.192539054
22123,301345.5441676574
22017,25149301.77981459
22115,485951000.04526204
22111,451274.2560601173
22005,83744044.84716913
22015,5468200.278287454
22025,129728.48020168603
22037,86787.56952680604
22091,12117091.146796953
22109,49980838.28904434
22065,268996026.0537618
22105,160493512.99996656
22043,586920350.9917746
22127,453406414.3108732
22057,100196300.52051988
22077,1946403.7150081631
22103,168593449.15930596
22063,505406132.0396112
22101,128983691.7212024
22095,195718156.57392085
22125,74712881.00526738
22023,765870467.10521
22041,808542.9429675369
22051,48345009.751036316
22075,53539285.82926883
22003,299825.4019427882
22021,2621159.556509224
22121,36818791.62641836
22059,252075.70537634086
22073,8376769.4794871835
22083,738459.2650119935
22087,28948157.397318345
22049,217335.93259723033
22089,4922943.767889266
22093,132378906.72626077
22027,82122581.12132207
22019,12249294.24936856
22039,1418324.5974753816
22061,751618.1868577355
22007,0.0
22013,25045883.44349732
22085,3298473.364832296
