GEOID,area
13009,4736108.576086625
13027,1189065.1240654225
13103,5565754.825924362
13121,178600888.1312035
13141,147424.3548118214
13149,125446.10855031639
13179,12078267.778776594
13183,5956957.583719619
13189,1150183.044086056
13209,131245.1300392911
13229,2641524.8850759473
13267,540986.4479558009
13271,482650.992331818
13291,176609079.34392664
13305,443367.0041836008
13319,45497.01318288148
13283,92906.32307764588
13289,24657120.56796
13313,65052207.99704672
13317,596377.009602541
13051,54337689.56816574
13077,28048298.835804366
13123,154317185.48898882
13133,119378360.05408518
13137,158553932.90082332
13139,203590175.6938238
13143,812867.9586372753
13157,2603369.9838242442
13171,276391.04515611136
13181,5554.874137694782
13185,60445305.43987346
13195,656880.3787187845
13213,212893595.67422134
13217,133605647.90970618
13237,152427547.64041868
13245,15655038.240780491
13251,6040793.832949678
13269,1110301.421744259
13279,270137.42344853055
13021,19484721.967528343
13029,6765735.229157343
13219,4101903.128810393
13007,21614462.225683436
13001,6262594.077395879
13079,16029.983681109814
13135,168336677.05623776
13311,170605166.2240732
13261,1860976.4149232854
13025,21516518.988389764
13075,8595965.49431025
13303,1196615.3789438938
13201,25597532.864745744
13265,666108.3788533576
13107,389554.86181709054
13215,13409487.458112046
13301,1104303.4546078253
13309,73585.34279935161
13031,12596728.217836102
13019,338581.0351281683
13113,88854070.89105639
13151,151273456.54574102
13191,6518833.046879797
13063,43829954.259534396
13159,760222319.1765099
13003,172960.31744109324
13117,129279534.83480245
13169,469945781.5611554
13197,127898.85403618151
13059,25349206.34319123
13069,764892.7766695977
13083,2508613.9421256105
13145,374563.7632393894
13023,276927.8769617461
13037,27663171.59624474
13053,94349.53838208584
13093,522777.7347570907
13111,304935914.4136897
13243,200549.29731113976
13257,96141925.763166
13287,677946.9611539433
13295,213729807.04425532
13233,5900725.82846485
13239,25661.551370703288
13205,9434719.907101594
13315,2105579.721664624
13273,356342.6063752839
13073,10200410.000247302
13223,13808953.029354112
13047,2421479.671177035
13235,34724.97926097676
13249,63024.7070830241
13065,118960611.70531684
13161,4288614.095850999
13011,4157207.2283082576
13207,2219290.570898411
13057,226818551.9510026
13085,71716171.15416154
13225,16436049.313796392
13253,43104005.61552422
13277,954085.8725285411
13015,154904901.4884053
13095,59784962.200327426
13049,1585104493.9574492
13177,238141.25032874203
13167,128906.77925437273
13043,667149.526576723
13187,82444904.57635975
13099,416350.91990214336
13089,102167538.24444088
13285,13558235.011927266
13115,41647512.145118564
13125,20960.053264537484
13255,48799738.050658956
13259,199766.59106086395
13067,73326880.81521021
13081,427896.713053829
13165,1579248.9346193436
13299,868324690.3440703
13307,60479.55451601574
13035,6457348.494812539
13193,434383.7313638136
13293,502450.6682584291
13055,102249962.63349408
13321,573005.4288493502
13101,46699.51490376947
13109,17854899.74513975
13211,6489566.069157314
13005,206657.36035344654
13045,4595780.574172337
13087,74999169.39118004
13061,865286.9812740302
13199,246610.33508249652
13091,372100.7365984398
13119,1754404.1590355805
13129,35027940.55271739
13175,423977.6014234401
13247,120764854.54197426
13147,12475644.550409967
13017,2708306.807795531
13071,9130765.533937592
13033,39937591.68384852
13297,203665708.54378706
13231,191418.26093105928
13275,12247954.860704057
13227,1950884.227632971
13281,130146032.38077305
13127,19834955.61171879
13173,1476539.5223297556
13131,2804344.7327206885
13013,118021892.02773735
13241,603251141.6061864
13263,111478.61687280075
13097,130006714.31199203
13155,2608766.0596084455
13153,3217773.227016077
13105,3177922.1231475566
13163,4918795.012702215
13221,16616361.713157896
13039,38194304.07649427
