GEOID,area
35007,1575199912.20725
35011,14247685.283402057
35051,649834321.5160513
35015,378797845.68498236
35039,7476782497.108531
35045,1913755133.293585
35055,3490130488.713953
35019,1813251.5447146606
35033,555779484.9469872
35017,1363559884.3651454
35003,3571687813.313734
35021,601407200.242252
35037,9910438.774869721
35047,1701676122.727834
35057,752910694.3733896
35061,97292727.17699534
35001,376211448.18989587
35006,3129801349.0294375
35009,2246044.5786514874
35013,3319068925.2167716
35028,146544778.94024345
35027,763924326.7637875
35053,5335327255.851035
35005,402332598.69449556
35041,115243768.95951137
35023,650894103.5991472
35025,17546630.974913463
35059,236833634.12083876
35031,1167406395.6363285
35049,1055997107.5556802
35035,641906501.959486
35043,2529063646.483266
35029,322154670.00568444
