GEOID,area
53065,2463838708.347996
53005,508890148.6948128
53007,3023346209.879742
53009,1560435892.0524447
53015,187344805.31122816
53025,991078054.4255878
53031,2413902292.958644
53037,1707636965.1849215
53043,216953926.44624373
53047,2598489657.9302664
53049,103063190.35919118
53053,1702145258.428295
53061,2469967215.8271313
53071,14600861.100102233
53073,3262133164.5522556
53077,1686955449.8177583
53011,234315601.17036682
53045,325771971.0369155
53027,367814165.7681916
53033,2118848588.35762
53057,1352639907.1076105
53019,536170346.14120436
53075,16043321.262331635
53067,366573901.4236788
53021,185068485.26134747
53055,20390458.376183122
53051,1220582571.9152079
53059,3683722205.5631704
53013,95439989.15400812
53029,18756624.193366915
53035,87516233.01511984
53041,2083587482.4952724
53039,302522104.5046015
53001,60833281.05564831
53063,779667810.0158726
53023,29442070.819038864
53003,238700593.0572326
53069,4433813.874516607
53017,257275645.5883434
