GEOID,area
42005,145482114.21928415
42029,106861988.03345059
42035,2077465296.0640318
42059,246518182.65840912
42067,636057057.5616155
42091,48032334.94328956
42111,358469518.31645554
42099,970330948.931102
42103,527548503.31324565
42127,118423542.12875123
42133,209266337.36234906
42003,285033248.9022642
42027,2182989926.340226
42033,2060718544.5411534
42041,332078397.4288353
42045,46197483.00463407
42051,353338400.5466042
42061,1697741121.9511054
42071,99694922.61230221
42089,384685803.9033996
42095,91994922.93959256
42049,176723323.08905256
42101,25342584.270729538
42043,313224603.7997139
42097,114745423.99198318
42031,127562383.5032482
42131,158247911.27272943
42023,895618833.990137
42055,591865867.7666395
42017,109306887.25268675
42073,44873483.63864175
42083,264730049.8402375
42121,200317947.59948355
42013,880699448.1953181
42117,803114201.2767304
42011,219382984.96727365
42019,233217484.24450868
42105,1254930632.848899
42115,148403491.17612794
42079,707682958.7959137
42047,1156000140.7770908
42075,150098658.16993117
42123,371534249.15507936
42119,499890309.7810917
42063,118355060.32677306
42065,253204391.91796747
42081,1601942277.9501843
42069,438737636.84264094
42007,123588281.6865089
42021,618966306.2623522
42037,157468270.2955734
42107,329878298.993509
42001,170209752.8768708
42009,708049340.7565278
42053,436622375.5272849
42113,423701388.8642275
42015,241071693.8711019
42109,457032652.4801685
42025,269567133.16571075
42077,59228657.99619318
42087,688675925.6348541
42129,230276053.25645635
42057,221494722.2091823
42085,224067890.6374283
42125,170555633.36820558
42039,247676478.14179316
42093,3919738.4568842556
