GEOID,area
36013,165534338.9395365
36029,133851290.40975809
36043,1477956371.33535
36045,151290295.382076
36047,26737524.067908872
36053,125232407.7644628
36065,262196474.75039002
36077,89628843.2395434
36081,46103335.74515298
36091,128134860.0003832
36115,144794617.4623838
36025,504789754.4707068
36031,2441865869.622715
36103,779165093.5086586
36105,319415265.9067393
36119,61444041.252082005
36123,36171686.586499505
36059,106555733.53930478
36075,214449466.9063114
36009,563696241.4246912
36061,2899194.7063038833
36071,422669606.8439974
36017,321233477.2718322
36113,894617294.4929506
36057,34542720.439568736
36067,99478493.0355678
36019,324628346.5784383
36073,27450985.847910855
36079,133476679.89606725
36097,139955192.81824017
36107,62021292.79387781
36121,53246685.59458628
36033,1191411444.9686081
36051,54035393.66785164
36095,150744747.96765414
36099,131841366.43855985
36069,49878383.05813721
36085,40413431.2150215
36117,115967446.94668603
36011,65693850.89316851
36027,91788445.34799568
36049,619242623.0364745
36021,64503911.222923666
36015,12658801.325591356
36109,135489671.45344988
36039,424459361.40703523
36041,3379249463.1361313
36093,25413146.37716339
36023,148960487.45795676
36001,135736683.98717365
36007,377164250.7758528
36037,46125134.23609339
36005,11378475.644018248
36055,68983083.16348581
36035,352465906.57935536
36089,1330122180.9521239
36083,86273244.8479849
36003,678684751.7116578
36101,129737233.05693002
36063,173159495.2430184
36111,869669872.849281
36087,153056734.0736914
