GEOID,area
30015,562130344.6053649
30023,489695214.4116814
30029,5796283510.771257
30039,519180791.2422915
30057,941198206.8479838
30071,2998932705.8293066
30077,1429613739.6548135
30085,12506826.506440336
30087,298201841.73406047
30105,1720115369.2191863
30001,1429976719.96864
30013,805062625.1436969
30027,1928034960.3396106
30031,1080834415.0244484
30045,1257603653.7429368
30049,2729895776.2216988
30055,766803520.9189857
30059,1635000985.000185
30069,601657707.8694143
30073,441951427.86026025
30083,150039943.3651404
30099,1054239376.952033
30005,1686772233.180635
30053,8609029994.39929
30043,38933741.79666341
30081,628597239.1529828
30009,700693068.0545346
30033,2348831768.041272
30007,26228774.403681546
30093,117733434.43518038
30003,95388621.25095272
30035,1625734697.6039834
30061,146309303.4590559
30089,1942331429.9723597
30075,499849129.3680125
30101,37042326.73929585
30067,2698570338.5267773
30095,592766467.3921243
30019,134056370.40076478
30037,161377749.30587146
30051,6430665.780544915
30107,300841019.77153385
30065,223418844.62857175
30097,413805704.63111055
30103,24422868.5203312
30109,39786906.04398285
30017,627164572.6858141
30021,127828226.90541539
30079,1136682631.8066158
30041,42302012.44034481
30025,101361183.10928239
30011,1484514612.61942
30111,41892782.972381964
30063,1132599553.9952748
30091,175370604.22319594
30047,461377554.2062018
